Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,fwd_packets_rate,Label
6,100475153,9,6,344,11595,338,0,38.22222,112.43418,4344,0,1932.5,1754.8314,118.8253976,0.149290641,7176796.5,26800000.0,100000000,1,100000000,12500000.0,35400000.0,100000000,1,211878,42375.6,80386.33,184660,15,0,0,0,0,284,200,0.08957438,0.059716254,0,4344,746.1875,1390.6846,1934003.5,0,0,0,0,1,0,0,0,0,795.93335,38.22222,1932.5,0,0,0,0,0,0,9,344,6,11595,251,235,2,20,1997.0,0.0,1997,1997,100000000.0,0.0,100000000,100000000,8.957438373271864e-08,Attack
6,12118706,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,1.98040946,0.330068243,4039568.8,6994139.0,12100000,1015,12100000,4039568.8,6994139.0,12100000,1015,0,0.0,0.0,0,0,0,0,0,0,80,0,0.33006823,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,3001.0,0.0,3001,3001,12100000.0,0.0,12100000,12100000,3.300682160233761e-07,Attack
6,74206598,8,5,56,11607,20,0,7.0,5.656854,10135,0,2321.4,4413.202,157.1693126,0.175186578,6183883.0,19500000.0,67900000,1,73700000,10500000.0,25400000.0,67900000,1,525904,131476.0,262212.97,524795,5,0,0,0,0,172,112,0.10780712,0.06737945,0,10135,833.5,2705.0442,7317264.5,0,0,0,0,1,0,0,0,0,897.61536,7.0,2321.4,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,999.0,0.0,999,999,36800000.0,43900000.0,67900000,5811857,1.0780712373033023e-07,Attack
6,982486,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,11840.37228,7.124783457,163747.67,400721.03,981716,66,609,304.5,275.06454,499,110,982420,327473.34,566590.8,981716,92,0,0,0,0,72,92,3.0534787,4.071305,0,11595,1454.125,4097.5376,16800000.0,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,3.053475516724394e-06,Attack
6,70484545,9,4,62,11607,20,0,6.888889,5.3019915,11595,0,2901.75,5795.5005,165.5540232,0.184437596,5873712.0,18900000.0,65700000,4,69900000,8743264.0,23100000.0,65700000,55,539103,179701.0,310545.72,538288,4,0,0,0,0,192,92,0.12768757,0.05675003,0,11595,833.9286,3097.2527,9592975.0,0,0,0,0,1,0,0,0,0,898.0769,6.888889,2901.75,0,0,0,0,0,0,9,62,4,11607,256,229,7,20,4244896.0,0.0,4244896,4244896,65700000.0,0.0,65700000,65700000,1.2768756430664957e-07,Attack
6,6943589,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.32053222,0.720088703,1735897.2,3470728.5,6941990,206,6943589,1735897.2,3470728.5,6941990,206,0,0.0,0.0,0,0,0,0,0,0,100,0,0.7200887,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1599.0,0.0,1599,1599,6941990.0,0.0,6941990,6941990,7.200885997013072e-07,Attack
6,2698955,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,8.89233055,1.482055092,899651.7,1558238.9,2698951,1,2698955,899651.7,1558238.9,2698951,1,0,0.0,0.0,0,0,0,0,0,0,80,0,1.4820551,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1.4820545425712757e-06,Attack
6,5717205,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.197855421,0.69964257,1905735.0,3300056.5,5716312,371,5717205,1905735.0,3300056.5,5716312,371,0,0.0,0.0,0,0,0,0,0,0,80,0,0.6996426,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,893.0,0.0,893,893,5716312.0,0.0,5716312,5716312,6.99642447727089e-07,Attack
6,103018385,8,5,364,11595,364,0,45.5,128.69344,5803,0,2319.0,3175.4238,116.0860753,0.126191068,8584865.0,28800000.0,100000000,1,103000000,14700000.0,37600000.0,100000000,1,1673,418.25,395.9473,873,3,0,0,0,0,280,168,0.077656046,0.048535027,0,5803,854.2143,2096.4993,4395309.5,0,0,0,0,1,0,0,0,0,919.9231,45.5,2319.0,0,0,0,0,0,0,8,364,5,11595,251,235,1,32,5.0,0.0,5,5,100000000.0,0.0,100000000,100000000,7.765604093234386e-08,Attack
6,84619632,7,7,708,11595,354,0,101.14286,172.73431,4344,0,1656.4286,1757.579,145.3917928,0.165446241,6509202.5,23400000.0,84300000,2,84500000,14100000.0,34400000.0,84300000,2,360949,60158.168,96875.25,223013,15,0,0,0,0,232,232,0.08272312,0.08272312,0,4344,820.2,1411.6987,1992893.1,0,0,0,0,1,0,0,0,1,878.7857,101.14286,1656.4286,0,0,0,0,0,0,7,708,7,11595,251,235,2,32,6.0,0.0,6,6,84300000.0,0.0,84300000,84300000,8.272311934985584e-08,Attack
